,id,uri,estateType,offerType,disposition,imageAltText,address,surface,surfaceLand,tags,price,charges,currency,petFriendly,reserved,highlighted,roommate,project,originalPrice,isDiscounted,nemoreport,isNew,videos,links,__typename,mainImage.id,mainImage.url,mainImage.__typename,gps.lat,gps.lng,gps.__typename,mortgageData.rateLow,mortgageData.rateHigh,mortgageData.loan,mortgageData.years,mortgageData.__typename,project.id,project.__typename,mainImage
92,715418,715418-nabidka-pronajem-bytu-donovalska-praha-chodov,BYT,PRONAJEM,DISP_1_KK,"Pronájem bytu 1+kk 34 m², Donovalská, Praha, Praha","Donovalská, Praha - Chodov",34,0.0,"['MHD 2 minuty pěšky', 'Částečně vybaveno', 'Výtah', 'Parkování', 'Balkón 7 m²']",16500,3500,CZK,,False,True,False,,16500,False,,False,[],[],Advert,16694446,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/715k/715418/1688575194-wxqwxgwvmv-phpv3f7tc.jpg,Image,50.0367596,14.5056446,GPSPoint,,,,,MortgageData,,,
93,538966,538966-nabidka-pronajem-bytu-v-zapoli-hlavni-mesto-praha,BYT,PRONAJEM,DISP_2_KK,"Pronájem bytu 2+kk 42 m², V Zápolí, Praha, Praha","V Zápolí, Praha - Michle",42,0.0,"['MHD 2 minuty pěšky', 'Vybaveno']",13000,3500,CZK,,False,False,False,,14000,True,,False,[],[],Advert,4814565,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/538k/538966/1541414241-hitjvhzibl.jpg,Image,50.049574532422,14.467259325162,GPSPoint,,,,,MortgageData,,,
94,785837,785837-nabidka-pronajem-bytu-svatosovych-praha,BYT,PRONAJEM,DISP_1_KK,"Pronájem bytu 1+kk 32 m², Svatošových, Praha, Praha","Svatošových, Praha - Vysočany",32,,"['MHD 5 minut pěšky', 'Částečně vybaveno', 'Výtah', 'Sklep 2 m²']",16000,4870,CZK,True,False,False,False,,16000,False,,False,[],[],Advert,16358762,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/785k/785837/1685706883-lzsoptthtn-phpnyox8l.jpg,Image,50.10835,14.51738,GPSPoint,,,,,MortgageData,,,
95,650716,650716-nabidka-pronajem-bytu-sifarska-praha,BYT,PRONAJEM,GARSONIERA,"Pronájem bytu Garsoniéra 33 m², Šífařská, Praha","Šífařská, Praha - Hodkovičky",33,0.0,"['MHD 5 minut pěšky', 'Částečně vybaveno', 'Výtah', 'Parkování', 'Balkón 5,1 m²']",13000,3300,CZK,,False,True,False,,13000,False,,False,"[{'id': '3835', 'previewUrl': 'https://api.bezrealitky.cz/media/video-preview/3835', 'status': 'PROCESSED', '__typename': 'AdvertVideo'}]",[],Advert,12434127,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/650k/650716/1613343868-dvfrtvqjil.jpg,Image,50.020821,14.40306,GPSPoint,,,,,MortgageData,,,
96,743340,743340-nabidka-pronajem-bytu-bustehradska-praha,BYT,PRONAJEM,DISP_1_KK,"Pronájem bytu 1+kk 27 m², Buštěhradská, Praha, Praha","Buštěhradská, Praha - Střešovice",27,,"['MHD 4 minuty pěšky', 'Vybaveno', 'Parkování', 'Terasa 10 m²']",16500,3200,CZK,False,False,False,False,,15500,False,,False,[],[],Advert,13968608,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/743k/743340/1664697228-fyptvcgpkx-phpoujchy.jpg,Image,50.09684,14.38976,GPSPoint,,,,,MortgageData,,,
97,595913,595913-nabidka-pronajem-bytu-vresovicka-praha,BYT,PRONAJEM,DISP_2_KK,"Pronájem bytu 2+kk 55 m², Vřesovická, Praha","Vřesovická, Praha - Zličín",55,0.0,"['MHD 5 minut pěšky', 'Vybaveno', 'Výtah', 'Balkón 2 m²']",16000,6300,CZK,,False,False,False,,16000,False,,False,[],[],Advert,6693101,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/595k/595913/1582822545-zfhbexrvfg.jpg,Image,50.059491,14.285499,GPSPoint,,,,,MortgageData,,,
98,790525,790525-nabidka-pronajem-bytu-praha,BYT,PRONAJEM,GARSONIERA,"Pronájem bytu Garsoniéra 50 m², Praha",Praha - Řeporyje,50,,"['MHD 4 minuty pěšky', 'Částečně vybaveno', 'Parkování', 'Sklep 2 m²']",13500,2000,CZK,False,False,False,False,,13500,False,,False,[],[],Advert,16650785,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/790k/790525/1688122380-srgihvabvp-phpmrytah.jpg,Image,50.03704,14.31131,GPSPoint,,,,,MortgageData,,,
99,790522,790522-nabidka-pronajem-bytu-oresska-hlavni-mesto-praha,BYT,PRONAJEM,DISP_2_KK,"Pronájem bytu 2+kk 72 m², Ořešská, Praha, Praha","Ořešská, Praha - Řeporyje",72,,"['MHD 1 minuta pěšky', 'Částečně vybaveno', 'Parkování']",16500,3850,CZK,False,False,False,False,,16500,False,,False,[],[],Advert,16650653,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/790k/790522/1688121435-gtznowipkg-phpq9v0sr.jpg,Image,50.03167,14.31035,GPSPoint,,,,,MortgageData,,,
100,507089,507089-nabidka-pronajem-bytu-slivenecka,BYT,PRONAJEM,DISP_2_KK,"Pronájem bytu 2+kk 45 m², Slivenecká, Praha, Praha","Slivenecká, Praha - Hlubočepy",45,0.0,"['MHD 1 minuta pěšky', 'Vybaveno', 'Parkování']",13000,2000,CZK,,False,True,False,,13000,False,,False,[],[],Advert,4026756,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/507k/507089/1517762907-agddr-p1010982.JPG,Image,50.0409561,14.3920637,GPSPoint,,,,,MortgageData,,,
101,791184,791184-nabidka-pronajem-bytu-bukolska-hlavni-mesto-praha,BYT,PRONAJEM,DISP_2_KK,"Pronájem bytu 2+kk 41 m², Bukolská, Hlavní město Praha","Bukolská, Praha - Bohnice",41,,"['MHD 3 minuty pěšky', 'Vybaveno', 'Výtah', 'Parkování']",12000,3100,CZK,False,False,False,False,,12000,False,,False,[],[],Advert,16692909,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/791k/791184/1688546459-xjzoptxsrf-phpi5tf3h.jpg,Image,50.13068,14.43328,GPSPoint,,,,,MortgageData,,,
