,id,uri,estateType,offerType,disposition,imageAltText,address,surface,surfaceLand,tags,price,charges,currency,petFriendly,reserved,highlighted,roommate,project,originalPrice,isDiscounted,nemoreport,isNew,videos,links,__typename,mainImage.id,mainImage.url,mainImage.__typename,gps.lat,gps.lng,gps.__typename,mortgageData.rateLow,mortgageData.rateHigh,mortgageData.loan,mortgageData.years,mortgageData.__typename,project.id,project.__typename,mainImage,nemoreport.id,nemoreport.status,nemoreport.timeCreated,nemoreport.__typename
474,789976,789976-nabidka-pronajem-bytu-nad-aleji-hlavni-mesto-praha,BYT,PRONAJEM,DISP_3_1,"Pronájem bytu 3+1 72 m², Nad Alejí, Praha, Praha","Nad Alejí, Praha - Břevnov",72,,"['MHD 1 minuta pěšky', 'Částečně vybaveno', 'Sklep 2,5 m²', 'Lodžie 2,7 m²']",24000,7500,CZK,False,False,False,False,,24000,False,,False,[],[],Advert,16606156,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/789k/789976/1687860827-yoitvtwftt-phpjiy30h.jpg,Image,50.08603,14.34439,GPSPoint,,,,,MortgageData,,,,,,,
475,744514,744514-nabidka-pronajem-bytu-kmochova-praha,BYT,PRONAJEM,GARSONIERA,"Pronájem bytu Garsoniéra 27 m², Kmochova, Praha, Praha","Kmochova, Praha - Smíchov",27,,"['MHD 2 minuty pěšky', 'Vybaveno']",13500,3500,CZK,True,False,True,False,,13500,False,,False,[],[],Advert,13991208,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/744k/744514/1665321732-vnajiuhgpv-phpb3sswy.jpg,Image,50.07254,14.39604,GPSPoint,,,,,MortgageData,,,,,,,
476,464111,464111-nabidka-pronajem-bytu-brezinova-praha,BYT,PRONAJEM,DISP_2_KK,"Pronájem bytu 2+kk 52 m², Březinova, Praha, Praha","Březinova, Praha - Karlín",52,0.0,"['MHD 3 minuty pěšky', 'Výtah', 'Sklep 2 m²']",21000,4700,CZK,True,False,False,False,,22000,True,,False,[],[],Advert,16605422,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/464k/464111/1687856602-acbxjagaiq-phpirudrt.jpg,Image,50.0936537,14.4564342,GPSPoint,,,,,MortgageData,,,,,,,
477,788340,788340-nabidka-pronajem-bytu-mukarovskeho-praha,BYT,PRONAJEM,DISP_3_KK,"Pronájem bytu 3+kk 72 m², Mukařovského, Praha, Praha","Mukařovského, Praha - Stodůlky",72,,"['MHD do minuty pěšky', 'Částečně vybaveno', 'Výtah', 'Parkování', 'Garáž', 'Sklep 2 m²', 'Terasa 7 m²']",30000,7000,CZK,False,False,False,False,,30000,False,,False,[],[],Advert,16605848,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/788k/788340/1687859302-phrxstqtvd-phpwyxr0h.jpg,Image,50.04107,14.32773,GPSPoint,,,,,MortgageData,,,,,,,
478,686311,686311-nabidka-pronajem-bytu-kubova-hlavni-mesto-praha,BYT,PRONAJEM,DISP_2_KK,"Pronájem bytu 2+kk 50 m², Kubova, Praha, Praha","Kubova, Praha - Karlín",50,0.0,"['MHD 4 minuty pěšky', 'Vybaveno', 'Výtah']",30000,2000,CZK,,False,False,False,,30000,False,,False,[],[],Advert,13012215,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/686k/686311/1633335443-bailpmcunj.jpg,Image,50.09314,14.45965,GPSPoint,,,,,MortgageData,,,,,,,
479,686324,686324-nabidka-pronajem-bytu-zborovska-hlavni-mesto-praha,BYT,PRONAJEM,DISP_2_KK,"Pronájem bytu 2+kk 73 m², Zborovská, Praha, Praha","Zborovská, Praha - Smíchov",73,0.0,"['MHD 1 minuta pěšky', 'Vybaveno', 'Výtah']",40000,6000,CZK,,False,True,False,,35000,False,,False,[],[],Advert,13012477,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/686k/686324/1633338146-hbqmzdtsbg.jpg,Image,50.0762,14.40725,GPSPoint,,,,,MortgageData,,,,,,,
480,789956,789956-nabidka-pronajem-bytu-velebneho-hlavni-mesto-praha,BYT,PRONAJEM,DISP_1_KK,"Pronájem bytu 1+kk 37 m², Velebného, Praha, Praha","Velebného, Praha - Újezd nad Lesy",37,,"['Částečně vybaveno', 'Parkování']",11500,3500,CZK,False,False,False,False,,11500,False,,False,[],[],Advert,16604896,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/789k/789956/1687854783-ofescsosrz-phpxzysmm.jpg,Image,50.07124,14.66232,GPSPoint,,,,,MortgageData,,,,,,,
481,421471,421471-nabidka-pronajem-bytu-nad-rokoskou,BYT,PRONAJEM,DISP_4_KK,"Pronájem bytu 4+kk 120 m², Nad Rokoskou, Praha, Praha","Nad Rokoskou, Praha - Libeň",120,0.0,"['MHD 5 minut pěšky', 'Vybaveno', 'Výtah', 'Parkování', 'Garáž', 'Balkón 20 m²', 'Sklep 15 m²']",31000,4000,CZK,,False,True,False,,31000,False,,False,[],[],Advert,5526156,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/421k/421471/1559073579-yeiqlljpuy.jpg,Image,50.1189684,14.4540478,GPSPoint,,,,,MortgageData,,,,,,,
482,752477,752477-nabidka-pronajem-bytu-udolni-praha,BYT,PRONAJEM,DISP_5_KK,"Pronájem bytu 5+kk 120 m², Údolní, Praha, Praha","Údolní, Praha - Hodkovičky",120,,"['MHD 3 minuty pěšky', 'Lodžie 6 m²']",37000,8000,CZK,False,False,True,False,,37000,False,,False,[],[],Advert,15841459,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/752k/752477/1681394892-nwipqkapxw-phpreuvax.jpg,Image,50.02512,14.42198,GPSPoint,,,,,MortgageData,,,,,,,
483,620666,620666-nabidka-pronajem-bytu-kosicka-praha,BYT,PRONAJEM,DISP_2_KK,"Pronájem bytu 2+kk 49 m², Košická, Praha, Praha","Košická, Praha - Vršovice",49,0.0,"['MHD 3 minuty pěšky', 'Terasa 12 m²']",15000,2900,CZK,,False,True,False,,15000,False,,False,[],[],Advert,12465662,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/620k/620666/1614187696-yepnadhmxp.jpg,Image,50.069326,14.449349,GPSPoint,,,,,MortgageData,,,,,,,
484,788997,788997-nabidka-pronajem-bytu-spojovaci-hlavni-mesto-praha,BYT,PRONAJEM,OSTATNI,"Pronájem bytu 54 m², Spojovací, Praha, Praha","Spojovací, Praha - Žižkov",54,,"['MHD do minuty pěšky', 'Částečně vybaveno', 'Garáž']",16500,390,CZK,False,False,False,False,,16500,False,,False,[],[],Advert,16535274,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/788k/788997/1687289777-fvpfyghpnu-phpjrdheu.jpg,Image,50.09451,14.49601,GPSPoint,,,,,MortgageData,,,,,,,
485,525975,525975-nabidka-pronajem-bytu-praha,BYT,PRONAJEM,DISP_4_KK,"Pronájem bytu 4+kk 107 m², Praha, Praha",Praha - Stodůlky,107,0.0,"['MHD 4 minuty pěšky', 'Výtah', 'Balkón 8 m²', 'Sklep 10 m²', 'Lodžie 3 m²']",27000,6000,CZK,,False,True,False,,27000,False,,False,[],[],Advert,13205149,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/525k/525975/1639648431-vrtqybjunr.jpg,Image,50.0465133,14.3251799,GPSPoint,,,,,MortgageData,,,,,,,
486,567371,567371-nabidka-pronajem-bytu-na-spojce-hlavni-mesto-praha,BYT,PRONAJEM,DISP_2_1,"Pronájem bytu 2+1 48 m², Na Spojce, Praha, Praha","Na Spojce, Praha - Vršovice",48,0.0,"['MHD 1 minuta pěšky', 'Vybaveno', 'Výtah']",22500,4500,CZK,,False,True,False,,22500,False,,False,[],[],Advert,5726604,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/567k/567371/1562767083-jmhglxovgj.jpg,Image,50.0681144,14.4567123,GPSPoint,,,,,MortgageData,,,,,,,
487,529640,529640-nabidka-pronajem-bytu-na-radosti-zlicin,BYT,PRONAJEM,DISP_1_KK,"Pronájem bytu 1+kk 25 m², Na Radosti, Praha, Praha","Na Radosti, Praha - Zličín",25,0.0,"['MHD 3 minuty pěšky', 'Vybaveno']",10500,4500,CZK,,False,True,False,,10500,False,,False,[],[],Advert,4569715,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/529k/529640/1534462630-qstjw-02pokoja03f.jpg,Image,50.0577592,14.2889989,GPSPoint,,,,,MortgageData,,,,,,,
